时间,指标,产量,批发销量,国内批发销量,出口,产量同比,销量同比,国内同比,出口同比,动力类型,品牌,车型,车企
2024.12,总体市场,353.0,342.0,270.0,72.0,0.03,0.03,-0.04,0.48,总计,总体,总体,总体
2024.12,新能源车,188.0,182.0,132.3,30.0,0.2,0.206,0.354,0.198,新能源,新能源整体,新能源整体,新能源整体
2024.12,燃油车,165.0,160.0,137.7,42.0,-0.05,-0.08,-0.12,0.1,燃油,燃油整体,燃油整体,燃油整体
2025.1,总体市场,355.2,344.5,272.0,73.2,0.03,0.03,-0.04,0.48,总计,总体,总体,总体
2025.1,新能源车,189.5,183.7,110.432,31.5,0.2,0.206,0.262,0.496,新能源,新能源整体,新能源整体,新能源整体
2025.1,燃油车,165.7,160.8,161.56799999999998,41.7,-0.05,-0.08,-0.12,0.1,燃油,燃油整体,燃油整体,燃油整体
2025.2,总体市场,357.4,347.0,274.0,74.4,0.03,0.03,-0.04,0.48,总计,总体,总体,总体
2025.2,新能源车,191.0,185.4,123.574,33.0,0.2,0.206,0.926,0.605,新能源,新能源整体,新能源整体,新能源整体
2025.2,燃油车,166.39999999999998,161.6,150.426,41.400000000000006,-0.05,-0.08,-0.12,0.1,燃油,燃油整体,燃油整体,燃油整体
2025.3,总体市场,359.6,349.5,276.0,75.6,0.03,0.03,-0.04,0.48,总计,总体,总体,总体
2025.3,新能源车,192.5,187.1,123.648,34.5,0.2,0.206,0.423,0.268,新能源,新能源整体,新能源整体,新能源整体
2025.3,燃油车,167.10000000000002,162.4,152.352,41.099999999999994,-0.05,-0.08,-0.12,0.1,燃油,燃油整体,燃油整体,燃油整体
2025.4,总体市场,361.8,352.0,278.0,76.8,0.03,0.03,-0.04,0.48,总计,总体,总体,总体
2025.4,新能源车,194.0,188.8,137.60999999999999,36.0,0.2,0.206,0.393,0.76,新能源,新能源整体,新能源整体,新能源整体
2025.4,燃油车,167.8,163.2,140.39000000000001,40.8,-0.05,-0.08,-0.12,0.1,燃油,燃油整体,燃油整体,燃油整体
2025.5,总体市场,364.0,354.5,280.0,78.0,0.03,0.03,-0.04,0.48,总计,总体,总体,总体
2025.5,新能源车,195.5,190.5,143.64000000000001,37.5,0.2,0.206,0.279,1.2,新能源,新能源整体,新能源整体,新能源整体
2025.5,燃油车,168.5,164.0,136.35999999999999,40.5,-0.05,-0.08,-0.12,0.1,燃油,燃油整体,燃油整体,燃油整体
2025.6,总体市场,366.2,357.0,282.0,79.2,0.03,0.03,-0.04,0.48,总计,总体,总体,总体
2025.6,新能源车,197.0,192.2,133.5552,39.0,0.2,0.206,0.167,1.4,新能源,新能源整体,新能源整体,新能源整体
2025.6,燃油车,169.2,164.8,148.4448,40.2,-0.05,-0.08,-0.12,0.1,燃油,燃油整体,燃油整体,燃油整体
2025.7,总体市场,368.4,359.5,284.0,80.4,0.03,0.03,-0.04,0.48,总计,总体,总体,总体
2025.7,新能源车,198.5,193.9,145.91920000000002,40.5,0.2,0.206,0.169,1.2,新能源,新能源整体,新能源整体,新能源整体
2025.7,燃油车,169.89999999999998,165.6,138.08079999999998,39.900000000000006,-0.05,-0.08,-0.12,0.1,燃油,燃油整体,燃油整体,燃油整体
2025.8,总体市场,370.6,362.0,286.0,81.6,0.03,0.03,-0.04,0.48,总计,总体,总体,总体
2025.8,新能源车,200.0,195.6,139.56799999999998,42.0,0.2,0.206,0.183,1.0,新能源,新能源整体,新能源整体,新能源整体
2025.8,燃油车,170.60000000000002,166.4,146.43200000000002,39.599999999999994,-0.05,-0.08,-0.12,0.1,燃油,燃油整体,燃油整体,燃油整体
2025.9,总体市场,372.8,364.5,288.0,82.8,0.03,0.03,-0.04,0.48,总计,总体,总体,总体
2025.9,新能源车,201.5,197.3,143.136,43.5,0.2,0.206,0.175,1.0,新能源,新能源整体,新能源整体,新能源整体
2025.9,燃油车,171.3,167.2,144.864,39.3,-0.05,-0.08,-0.12,0.1,燃油,燃油整体,燃油整体,燃油整体
2025.10,总体市场,375.0,367.0,290.0,84.0,0.03,0.03,-0.04,0.48,总计,总体,总体,总体
2025.10,新能源车,203.0,199.0,159.239,45.0,0.2,0.206,0.121,0.999,新能源,新能源整体,新能源整体,新能源整体
2025.10,燃油车,172.0,168.0,130.761,39.0,-0.05,-0.08,-0.12,0.1,燃油,燃油整体,燃油整体,燃油整体
2025.11,总体市场,377.2,369.5,292.0,85.2,0.03,0.03,-0.04,0.48,总计,总体,总体,总体
2025.11,新能源车,204.5,200.7,164.542,46.5,0.2,0.206,0.065,2.6,新能源,新能源整体,新能源整体,新能源整体
2025.11,燃油车,172.7,168.8,127.458,38.7,-0.05,-0.08,-0.12,0.1,燃油,燃油整体,燃油整体,燃油整体
